Date	Company	Size(MB)	Cost(USD)	USD/GB
1999 October 1	Quantum KA 7200 rpm	13600	249	21.10
1999 October 1	Western Digital	20000	359	20.60
1999 October 1	Western Digital 7200 rpm	27300	489	20.60
1999 October 1	Quantum CX UTA 66	13600	219	18.50
1999 December 1	Western Digital IDE	20500	398	22.30
1999 December 1	Quantum IDE	18200	348	22
1999 December 1		10200	189	21.30
1999 December 1	Fujitsu IDE	10200	189	21.30
1999 December 1	Fujitsu IDE	13000	208	18.40
1999 December 1		13000	195	17.30
1999 December 1	Fujitsu IDE	20400	299	16.90
1999 December 1	Fujitsu IDE	17300	248	16.50
1999 December 1	Fujitsu IDE	27300	388	16.30
1999 December 1		17300	225	15
2000 February 1		10200	175	19.70
2000 February 1	Fujitsu	20400	299	16.90
2000 February 1	Fujitsu	13600	199	16.80
2000 February 1		12900	187.99	16.80
2000 February 1	Fujitsu	13600	197.80	16.70
2000 February 1		13000	186	16.50
2000 February 1	Fujitsu	17300	238	15.80
2000 February 1	Fujitsu	27300	375	15.80
2000 February 1	Fujitsu	17300	232.30	15.40
2000 February 1		17300	215	14.30
2000 February 1		20400	211.99	12
2000 April 1	IBM	20500	279	15.70
2000 April 1	Maxtor	15200	199	15.10
2000 April 1	Maxtor 7200 rpm	20000	259	14.90
2000 April 1	Maxtor UDMA	15000	192	14.70
2000 April 1	Seagate UDMA	17200	218	14.60
2000 April 1	Seagate UDMA	28000	349	14.30
2000 April 1		17300	215	14.30
2000 April 1	IBM UDMA 5400 rpm	20300	245	13.90
2000 April 1	Maxtor UDMA	17000	204	13.80
2000 April 1	Maxtor 7200 rpm	27000	320	13.60
2000 April 1		20400	239	13.50
2000 April 1	Maxtor UDMA	36500	411	13
2000 April 1	Maxtor UDMA	27000	299	12.70
2000 April 1	Western Digital UDMA	20000	218	12.50
2000 April 1	Maxtor UDMA	20000	217	12.50
2000 April 1	Maxtor UDMA	30000	308	11.80
2000 May 12	Western Digital Ultra ATA/66 5400 rpm	13600	179.99	15.20
2000 May 12	Maxtor UDMA/66 7200 rpm	30000	319.99	12.30
2000 May 12	Maxtor UDMA/66 7200 rpm	40000	399.99	11.50
2000 June 2	Maxtor UDMA/66 5400 rpm	15000	189.99	14.60
2000 August 1	Samsung	15000	162	12.40
2000 August 1	Maxtor IDE 7200rpm	30500	298	11.20
2000 August 1	Samsung	20000	175	10.10
2000 August 20	Maxtor 7200rpm 9ms	40900	388	10.90
2000 August 20	Maxtor 5400rpm	15300	144	10.80
2000 August 20	Maxtor 7200rpm 9ms	30700	278	10.40
2000 August 20	Maxtor 5400rpm	20400	164	9.25
2000 August 20	Maxtor 5400rpm	30700	214	8.02
2000 August 5	Maxtor 5400rpm	15000	149.99	11.50
2000 August 25	Maxtor 7200rpm	40000	349.99	10.10
2000 August 25	Maxtor 7200rpm UDMA/66	30000	249.99	9.58
2000 October 27	Maxtor 7200rpm	30700	244	9.17
2000 October 27	Maxtor 7200rpm	40900	318	8.93
2000 October 27	Maxtor 5400rpm	61400	398	7.46
2000 October 27	Maxtor 5400rpm	81900	518	7.30
2000 October 27	Maxtor 5400rpm	30700	194	7.25
2000 October 27	Maxtor 5400rpm	40900	254	7.14
2000 November 1	Maxtor 7200rpm UDMA/66	30000		7.87
2000 December 13	Samsung	30000	189	7.25
2000 December 20	Maxtor Ultra ATA 66 5400 rpm	80000	479.99	6.90
2001 January 14	5400 rpm	61000	388	7.30
2001 January 14	5400 rpm	82000	518	7.25
2001 January 14	5400 rpm	40000	238	6.85
2001 April 25	Quantum 7200 rpm	40000	260	7.46
2001 April 25	Fujitsu 5400 rpm UDMA-100	30000	169	6.49
2001 April 25	Fujitsu 5400 rpm UDMA-100	40000	199	5.71
2001 May 1	5400 rpm	30000	178	6.80
2001 May 1	5400 rpm	82000	468	6.58
2001 May 1	5400 rpm	61000	344	6.49
2001 May 1	5400 rpm	40000	204	5.85
2001 June 28	Western Digital 7200 rpm EIDE	40000	219.99	6.33
2001 July 6	Maxtor UATA 7200 rpm	60000	329.99	6.33
2001 July 20	Western Digital 7200 rpm UATA	80000		5.75
2001 August 31	Western Digital 7200 rpm UATA	60000		4.41
2001 November 30	Western Digital 7200 rpm EIDE UATA-100	100000		2.99
2001 December 1	Maxtor 5400 rpm IDE	40000	158.88	4.57
2002 March 8	Western Digital 5400 rpm EIDE Ultra ATA-100	40000	149.99	4.31
2002 July 27	Maxtor 7200 rpm IDE	40000	128.88	3.70
2002 August 9	Western Digital 7200 rpm EIDE Ultra ATA-100	100000	229.99	2.65
2002 August 16	Western Digital 7200 rpm Ultra ATA-100	60000	149.99	2.87
2002 August 16	Maxtor 7200 rpm EIDE Ultra ATA-133/100	80000	259.99	3.73
2002 August 23	Western Digital 5400 rpm EIDE Ultra ATA-100	40000	89.99	2.59
2002 August 30	Western Digital 7200 rpm EIDE Ultra ATA-100	100000	179.99	2.07
2002 September 6	Western Digital 7200 rpm	120000	269.99	2.59
2002 September 6	Western Digital 7200 rpm EIDE	40000	99.99	2.87
2002 September 20	Western Digital 5400 rpm EIDE Ultra ATA-100	40000	89.99	2.59
2002 September 20	Western Digital 7200 rpm Ultra ATA-100	60000	139.99	2.68
2003 October 11	Maxtor 7200 rpm IDE	40000	89.88	2.58
2003 October 11	Maxtor 7200 rpm IDE	120000	158	1.52
2003 November 29	Maxtor Serial ATA	80000	134	1.93
2003 November 29	Western Digital SMB cache	80000	124	1.78
2003 November 29	Maxtor Serial ATA	120000	168	1.61
2003 November 29	Western Digital SMB cache	120000	158	1.52
2003 November 29	Maxtor 7200 rpm IDE	80000	98.88	1.42
2003 November 29	Maxtor 7200 rpm IDE	120000	144.88	1.39
2004 March 27	Western Digital Caviar 7200rpm	160000	269.99	1.94
2004 March 27	Cicero 7200rpm	160000	269.95	1.94
2004 March 27	Western Digital 7200rpm	250000	369.99	1.70
2004 March 27	Western Digital	80000	109	1.57
2004 March 27	Maxtor 7200rpm IDE	80000	98	1.41
2004 March 27	Western Digital	120000	144	1.38
2004 March 27	Maxtor 7200rpm IDE	120000	129	1.24
2004 April 2	Western Digital Caviar 7200rpm	160000	169.99	1.22
2004 April 16	Western Digital Caviar SE 7200rpm	250000	249.99	1.15
2004 December 4	Barracuda 7200RPM Internal ATA/100	400000	280	0.70
2004 December 9	250GB 7200RPM Internal ATA/133	250000	180	0.72
2005 August 29	400GB 7200RPM Internal ATA/100	400000	300	0.75
2005 August 29	Ultra16 250GB 7200RPM Internal ATA/133	250000	160	0.64
2005 December 12	Hitachi Deskstar 7K250 250GB	250000	130	0.52
2005 December 12	Seagate Barracuda 200GB	200000	140	0.70
2006 July 5	Maxtor Ultra16 300GB	300000	150	0.50
2006 July 5	Seagate Barracuda 7200.9 500GB	500000	300	0.60
2006 December 27	Western Digital Caviar SE16 250GB	250000	140	0.56
2006 December 27	Samsung 80GB	80000	35	0.44
2007 June 24	Seagate 250GB	250000	100	0.40
2007 June 24	Seagate 160GB	160000	70	0.44
2008 January 13	Seagate Barracuda 7200.10 750GB	750000	200	0.27
2008 January 13	Beyond Micro Monster Mobile 1TB	1000000	270	0.27
2009 July 24	HITACHI 0A38016 7200 RPM SATA 3.0Gb/s	1000000	74.99	0.07
